#Dnipro;ukraine;west;;;;;;;;
#Coachella2022;music_and_art;entertainment;;;;;;;;
#green;environment;environment;;;;;;;;
#Netflix;internet;entertainment;;;;;;;;
#LA;america;west;;;;;;;;
#StandWithUkraine;ukraine;west;;;;;;;;
#Rigby;celebrity;celebrity;;;;;;;;
#clarksonsfarm;tv_program;entertainment;;;;;;;;
#Dulwich;england;west;;;;;;;;
#Formula1;sport;sport;;;;;;;;
#NajibMikati;politician;news_politics;;;;;;;;
#socialcare;society;culture;;;;;;;;
#CostOfLivingCrisis;society;culture;;;;;;;;
#VladimirPutin;politician;news_politics;;;;;;;;
#surfing;sport;sport;;;;;;;;
#Energodar;ukraine;west;;;;;;;;
#EscapeToTheChateau;tv_program;entertainment;;;;;;;;
#Wordle281;entertainment;entertainment;;;;;;;;
#Sheppey;england;west;;;;;;;;
#PS5restock;games;entertainment;;;;;;;;
#QueenElizabeth;england;west;;;;;;;;
#Kharkiv;ukraine;west;;;;;;;;
#fridayvibes;society;culture;;;;;;;;
#BBCALBA;news_outlets;news_politics;;;;;;;;
#IBioIC22;science_and_technology;sci_tech;;;;;;;;
#Olympics;sport;sport;;;;;;;;
#Switzerland;europe;west;;;;;;;;
#Baltic;nature;outside;;;;;;;;
#A5;science_and_technology;sci_tech;;;;;;;;
#Palestine;middle_east;east;;;;;;;;
#beer;entertainment;entertainment;;;;;;;;
#photooftheday;entertainment;entertainment;;;;;;;;
#RussiaUkraineConflict;ukraine;west;;;;;;;;
#Brussels;europe;west;;;;;;;;
#Australia;australia;east;;;;;;;;
#Easter;festival;outside;;;;;;;;
#StandingWithUkraine;ukraine;west;;;;;;;;
#Facebook;internet;entertainment;;;;;;;;
#WordleHint;entertainment;entertainment;;;;;;;;
#supplementation;society;culture;;;;;;;;
#sixthform;education;news_politics;;;;;;;;
#Wordle294;entertainment;entertainment;;;;;;;;
#EarthDay2022;environment;environment;;;;;;;;
#MothersDay;society;culture;;;;;;;;
#Putin;politician;news_politics;;;;;;;;
#LongIslandMedium;tv_program;entertainment;;;;;;;;
#WorldBookDay;society;culture;;;;;;;;
#covid;pandemic;health;;;;;;;;
#InsulateBritain;england;west;;;;;;;;
#StPetersburg;russia;east;;;;;;;;
#Newbury;england;west;;;;;;;;
#Zhytomyr;ukraine;west;;;;;;;;
#Diet;sport;sport;;;;;;;;
#WeAreBack;music_and_art;entertainment;;;;;;;;
#KateMiddleton;england;west;;;;;;;;
#ItTakesTwo;games;entertainment;;;;;;;;
#NetZero;internet;entertainment;;;;;;;;
#WillAndChris;tv_program;entertainment;;;;;;;;
#scotpapers;england;west;;;;;;;;
#Lukashenko;politician;news_politics;;;;;;;;
#Preston;internet;entertainment;;;;;;;;
#AllOutPolitics;tv_program;entertainment;;;;;;;;
#TopGear;tv_program;entertainment;;;;;;;;
#SEALTeam;tv_program;entertainment;;;;;;;;
#Kherson;ukraine;west;;;;;;;;
#APlaceIntheSun;tv_program;entertainment;;;;;;;;
#SouthwarkSoapBox;news_outlets;news_politics;;;;;;;;
#school;education;news_politics;;;;;;;;
#StormEunice;nature;outside;;;;;;;;
#HomeforWhovians;tv_program;entertainment;;;;;;;;
#PlanetNormal;news_outlets;news_politics;;;;;;;;
#Dnipropetrovsk;ukraine;west;;;;;;;;
#InterBologna;sport;sport;;;;;;;;
#educatingYorkshire;tv_program;entertainment;;;;;;;;
#Droylsden;sport;sport;;;;;;;;
#CoppaItaliaFrecciarossa;sport;sport;;;;;;;;
#NorthantsHour;news_outlets;news_politics;;;;;;;;
#military;military;conflict;;;;;;;;
#Royalfamily;celebrity;celebrity;;;;;;;;
#Egypt;middle_east;east;;;;;;;;
#Lucifer;tv_program;entertainment;;;;;;;;
#UkraineRussiaConflict;ukraine;west;;;;;;;;
#MilanInter;sport;sport;;;;;;;;
#Russianinvasion;ukraine;west;;;;;;;;
#LoveMilano;tv_program;entertainment;;;;;;;;
#FIFA22;sport;sport;;;;;;;;
#bringyourAgame;games;entertainment;;;;;;;;
#Perisic;sport;sport;;;;;;;;
#Lebanese;middle_east;east;;;;;;;;
#PuppyDogPals;tv_program;entertainment;;;;;;;;
#Eternals;film;entertainment;;;;;;;;
#Tajikistan;middle_east;east;;;;;;;;
#ClassicSciFiWeekend;news_outlets;news_politics;;;;;;;;
#43YearsStrong;music_and_art;entertainment;;;;;;;;
#Ukrainian;ukraine;west;;;;;;;;
#BakeOff;tv_program;entertainment;;;;;;;;
#energyprices;energy;sport;;;;;;;;
#Climate;nature;outside;;;;;;;;
#Ashford;england;west;;;;;;;;
#Style;life;health;;;;;;;;
#TriggerPoint;tv_program;entertainment;;;;;;;;
#TunbridgeWells;england;west;;;;;;;;
#Newspaper;news_outlets;news_politics;;;;;;;;
#Derbyshire;england;west;;;;;;;;
#EssexKnifeCrime;crime;conflict;;;;;;;;
#OlafScholz;politician;news_politics;;;;;;;;
#PrinceAndrew;celebrity;celebrity;;;;;;;;
#WestSideStory;film;entertainment;;;;;;;;
#WorldMentalHealthDay;health;health;;;;;;;;
#LawAndOrderSVU;tv_program;entertainment;;;;;;;;
#WinterOlympics2022;sport;sport;;;;;;;;
#DadsArmy;film;entertainment;;;;;;;;
#theoneshow;tv_program;entertainment;;;;;;;;
#SWNT;sport;sport;;;;;;;;
#Elections;politician;news_politics;;;;;;;;
#InterUdinese;sport;sport;;;;;;;;
#goodmorningbritain;england;west;;;;;;;;
#Theatre;music_and_art;entertainment;;;;;;;;
#Competition;society;culture;;;;;;;;
#Spotify;music_and_art;entertainment;;;;;;;;
#TheCrown;tv_program;entertainment;;;;;;;;
#squidgamenetflix;tv_program;entertainment;;;;;;;;
#TheTourist;travel;outside;;;;;;;;
#Hijab;middle_east;east;;;;;;;;
#thelastkingdom;tv_program;entertainment;;;;;;;;
#TorinoInter;sport;sport;;;;;;;;
#JanetJacksonDoc;tv_program;entertainment;;;;;;;;
#TOTW;sport;sport;;;;;;;;
#Moscow;russia;east;;;;;;;;
#documentary;internet;entertainment;;;;;;;;
#ethicalfinance;society;culture;;;;;;;;
#lorraine;europe;west;;;;;;;;
#christmas;festival;outside;;;;;;;;
#BridgeBuilders;internet;entertainment;;;;;;;;
#Greece;europe;west;;;;;;;;
#employeehealth;work;work;;;;;;;;
#jazz;music_and_art;entertainment;;;;;;;;
#Serbia;europe;west;;;;;;;;
#Eyewitness;film;entertainment;;;;;;;;
#agriculture;science_and_technology;sci_tech;;;;;;;;
#FIFA;sport;sport;;;;;;;;
#aplaceinthesun;tv_program;entertainment;;;;;;;;
#Lab21;society;culture;;;;;;;;
#ValentinesDay;festival;outside;;;;;;;;
#TheQueen;england;west;;;;;;;;
#matteobocelli;celebrity;celebrity;;;;;;;;
#BetterCallSaul;tv_program;entertainment;;;;;;;;
#KillTheBill;film;entertainment;;;;;;;;
#War;military;conflict;;;;;;;;
#G7;politician;news_politics;;;;;;;;
#TheLawyerHot100;law;conflict;;;;;;;;
#University;education;news_politics;;;;;;;;
#cruise;travel;outside;;;;;;;;
#Wealden;england;west;;;;;;;;
#Astroworld;music_and_art;entertainment;;;;;;;;
#Emmerdale;tv_program;entertainment;;;;;;;;
#PrideofBritain;england;west;;;;;;;;
#PlatinumJubilee;england;west;;;;;;;;
#UkraineWillResist;ukraine;west;;;;;;;;
#Tunisie;sport;sport;;;;;;;;
#FACup;sport;sport;;;;;;;;
#humanitarian;society;culture;;;;;;;;
#WomensDay;festival;outside;;;;;;;;
#legal;law;conflict;;;;;;;;
#Countdown;film;entertainment;;;;;;;;
#energy;energy;sport;;;;;;;;
#NorthKorea;asia;east;;;;;;;;
#NATO;military;conflict;;;;;;;;
#UFC;sport;sport;;;;;;;;
#InterSalernitana;sport;sport;;;;;;;;
#ESStories;entertainment;entertainment;;;;;;;;
#TheChickenSquad;tv_program;entertainment;;;;;;;;
#Italy;europe;west;;;;;;;;
#Hollywood;entertainment;entertainment;;;;;;;;
#MiltonKeynes;england;west;;;;;;;;
#Eid;middle_east;east;;;;;;;;
#awards;sport;sport;;;;;;;;
#renewableenergy;energy;sport;;;;;;;;
#AllCreaturesPBS;tv_program;entertainment;;;;;;;;
#Daventry;england;west;;;;;;;;
#HarryPotter;film;entertainment;;;;;;;;
#CovidVaccine;pandemic;health;;;;;;;;
#LabourConference21;work;work;;;;;;;;
#LegalInnovationAwards;law;conflict;;;;;;;;
#Travel;travel;outside;;;;;;;;
#radio;news_outlets;news_politics;;;;;;;;
#gmb;news_outlets;news_politics;;;;;;;;
#GBNews;news_outlets;news_politics;;;;;;;;
#Pakistan;middle_east;east;;;;;;;;
#energycrisis;energy;sport;;;;;;;;
#QudsDay;middle_east;east;;;;;;;;
#gas;energy;sport;;;;;;;;
#YearOfTheTiger;china;east;;;;;;;;
#Russian_Ukrainian_War;military;conflict;;;;;;;;
#GhislaineMaxwell;celebrity;celebrity;;;;;;;;
#Thesixthland;film;entertainment;;;;;;;;
#weekend;work;work;;;;;;;;
#GabbyPetito;celebrity;celebrity;;;;;;;;
#indyref2;england;west;;;;;;;;
#SMEXPO;commerce;work;;;;;;;;
#elections;politician;news_politics;;;;;;;;
#charity;charity;celebrity;;;;;;;;
#Orthodox;russia;east;;;;;;;;
#Instagram;internet;entertainment;;;;;;;;
#Apple;internet;entertainment;;;;;;;;
#Ulverston;england;west;;;;;;;;
#MaskedSinger;tv_program;entertainment;;;;;;;;
#kateandkoji;entertainment;entertainment;;;;;;;;
#thelarkins;tv_program;entertainment;;;;;;;;
